,Age of Members of 117th Congress,Title,Party,Age,Birthday,Number of Terms,Committee List
D-WI,Sen Tammy Baldwin ,US Senator,Democrat,60,2/11/1962,5,"Conference Secretary, Member | Appropriations, HELP, Commerce"
R-WY,Sen John Barrasso ,US Senator,Republican,69,7/21/1952,3,"Chairman | Energy (Ranking Member), Finance, Foreign Relations"
D-CO,Sen Michael Bennet ,US Senator,Democrat,57,11/28/1964,4,"Member | Finance, Intelligence, Agriculture"
R-TN,Sen Marsha Blackburn ,US Senator,Republican,69,6/6/1952,4,"Judiciary, Armed Services, Commerce, Veterans' Affairs"
D-CT,Sen Dick Blumenthal ,US Senator,Democrat,76,2/13/1946,3,"Member | Judiciary, Armed Services, Commerce, Veterans' Affairs, Aging"
R-MO,Outgoing Sen Roy Blunt ,US Senator,Republican,72,1/10/1950,5,"Chairman, Deputy Minority Whip | Senate Rules (Ranking Member), Appropriations, Intelligence, Commerce, Printing, Library"
D-NJ,Sen Cory Booker ,US Senator,Democrat,52,4/27/1969,3,"Chief Deputy Majority Whip, Vice Chair | Foreign Relations, Judiciary, Small Business, Agriculture"
R-AR,Sen John Boozman ,US Senator,Republican,71,12/10/1950,5,"Agriculture (Ranking Member), Appropriations, Environment, Veterans' Affairs"
R-IN,Sen Mike Braun ,US Senator,Republican,67,3/24/1954,1,"Appropriations, Budget, HELP, Agriculture, Aging"
R-AL,Sen elect Katie Britt ,US Senator,Republican,40,2/2/1982,1,
D-OH,Sen Sherrod Brown ,US Senator,Democrat,69,11/9/1952,6,"Member | Banking (Chair), Finance, Agriculture, Veterans' Affairs"
R-NC,Sen elect Ted Budd ,US Senator,Republican,50,10/21/1971,1,Financial Services
R-NC,Outgoing Sen Richard Burr ,US Senator,Republican,66,11/30/1955,5,"HELP (Ranking Member), Finance, Intelligence, Aging"
D-WA,Sen Maria Cantwell ,US Senator,Democrat,63,10/13/1958,4,"Member | Commerce (Chair), Finance, Energy, Small Business, Indian Affairs, Taxation"
R-WV,Sen Shelley Capito ,US Senator,Republican,68,11/26/1953,5,"Counsel to the Minority Leader, Deputy Minority Whip, Vice Chair | Environment (Ranking Member), Appropriations, Commerce, Senate Rules"
D-MD,Sen Ben Cardin ,US Senator,Democrat,78,10/5/1943,7,"Member | Small Business (Chair), Finance, Foreign Relations, Environment"
D-DE,Sen Tom Carper ,US Senator,Democrat,75,1/23/1947,4,"Deputy Whip, Member | Environment (Chair), Finance, Homeland Security"
D-PA,Sen Bob Casey ,US Senator,Democrat,61,4/13/1960,3,"Member | Aging (Chair), Finance, HELP, Intelligence"
R-LA,Sen Bill Cassidy ,US Senator,Republican,64,9/28/1957,3,"Finance, Energy, HELP, Veterans' Affairs, Economy"
R-ME,Sen Susan Collins ,US Senator,Republican,69,12/7/1952,5,"Appropriations, HELP, Intelligence, Aging"
D-DE,Sen Chris Coons ,US Senator,Democrat,58,9/9/1963,3,"Member | Ethics (Chair), Appropriations, Foreign Relations, Judiciary, Small Business"
R-TX,Sen John Cornyn ,US Senator,Republican,70,2/2/1952,5,"Finance, Judiciary, Intelligence"
D-NV,Sen Catherine Cortez Masto ,US Senator,Democrat,57,3/29/1964,2,"Member, Vice Chair of Outreach | Finance, Banking, Energy, Indian Affairs"
R-AR,Sen Tom Cotton ,US Senator,Republican,44,5/13/1977,3,"Judiciary, Armed Services, Intelligence, Economy"
R-ND,Sen Kevin Cramer ,US Senator,Republican,61,1/21/1961,2,"Banking, Budget, Armed Services, Environment, Veterans' Affairs"
R-ID,Sen Mike Crapo ,US Senator,Republican,70,5/20/1951,6,"Chair, Chief Deputy Minority Whip | Finance (Ranking Member), Banking, Budget, Taxation"
R-TX,Sen Ted Cruz ,US Senator,Republican,51,12/22/1970,2,"Foreign Relations, Judiciary, Commerce, Senate Rules, Economy"
R-MT,Sen Steve Daines ,US Senator,Republican,59,8/20/1962,3,"Chairman | Finance, Banking, Energy, Indian Affairs"
D-IL,Sen Tammy Duckworth ,US Senator,Democrat,54,3/12/1968,3,"Member | Armed Services, Small Business, Commerce, Environment"
D-IL,Whip Dick Durbin ,US Senator,Democrat,77,11/21/1944,8,"Ex-Officio Member, Member, Senate Majority Whip | Judiciary (Chair), Appropriations, Agriculture"
R-IA,Sen Joni Ernst ,US Senator,Republican,51,7/1/1970,2,"Chair, Vice Chair | Armed Services, Small Business, Environment, Agriculture"
D-CA,Sen Dianne Feinstein ,US Senator,Democrat,88,6/22/1933,6,"Member | Appropriations, Judiciary, Intelligence, Senate Rules"
D-PA,Sen elect John Fetterman ,US Senator,Democrat,53,8/15/1969,1,President of the Senate
R-NE,Sen Deb Fischer ,US Senator,Republican,71,3/1/1951,2,"Counsel to the Minority Leader, Deputy Minority Whip | Armed Services, Commerce, Agriculture, Senate Rules, Ethics"
D-NY,Sen Kirsten Gillibrand ,US Senator,Democrat,55,12/9/1966,3,"Member | Armed Services, Intelligence, Agriculture, Aging"
R-SC,Sen Lindsey Graham ,US Senator,Republican,66,7/9/1955,6,"Budget (Ranking Member), Appropriations, Judiciary, Environment"
R-IA,Sen Chuck Grassley ,US Senator,Republican,88,9/17/1933,9,"President Pro Tempore Emeritus | Judiciary (Ranking Member), Finance, Budget, Agriculture, Taxation"
R-TN,Sen Bill Hagerty ,US Senator,Republican,62,8/14/1959,1,"Appropriations, Banking, Foreign Relations, Senate Rules"
D-NH,Sen Maggie Hassan ,US Senator,Democrat,64,2/27/1958,2,"Chair | Finance, HELP, Homeland Security, Veterans' Affairs, Economy"
R-MO,Sen Josh Hawley ,US Senator,Republican,42,12/31/1979,1,"Judiciary, Armed Services, Homeland Security, Small Business"
D-NM,Sen Martin Heinrich ,US Senator,Democrat,50,10/17/1971,3,"Member | Economy (Vice Chair), Appropriations, Energy, Intelligence"
D-CO,Sen John Hickenlooper ,US Senator,Democrat,70,2/7/1952,1,"Energy, HELP, Small Business, Commerce"
D-HI,Sen Mazie Hirono ,US Senator,Democrat,74,11/3/1947,3,"Member | Judiciary, Armed Services, Energy, Small Business, Veterans' Affairs"
R-ND,Sen John Hoeven ,US Senator,Republican,65,3/13/1957,3,"Appropriations, Energy, Agriculture, Indian Affairs"
R-MS,Sen Cindy Hyde-Smith ,US Senator,Republican,62,5/10/1969,2,"Appropriations, Energy, Agriculture, Senate Rules"
R-OK,Outgoing Sen Jim Inhofe ,US Senator,Republican,87,11/17/1934,7,"Armed Services (Ranking Member), Small Business, Environment"
R-WI,Sen Ron Johnson ,US Senator,Republican,66,4/8/1955,3,"Budget, Foreign Relations, Homeland Security, Commerce"
D-VA,Sen Tim Kaine ,US Senator,Democrat,64,2/26/1958,2,"Member | Budget, Foreign Relations, Armed Services, HELP"
D-AZ,Sen Mark Kelly ,US Senator,Democrat,58,2/21/1964,2,"Armed Services, Energy, Environment, Aging, Economy"
R-LA,Sen John Kennedy ,US Senator,Republican,70,11/21/1951,2,"Appropriations, Banking, Budget, Judiciary, Small Business"
I-ME,Sen Angus King ,US Senator,Independent,77,3/31/1944,2,"Armed Services, Energy, Intelligence, Senate Rules, Printing"
D-MN,Sen Amy Klobuchar ,US Senator,Democrat,61,5/25/1960,3,"Chair, Chair of the Steering Committee, Member | Senate Rules (Chair), Printing (Chair), Library (Vice Chair), Judiciary, Commerce, Agriculture, Economy"
R-OK,Sen James Lankford ,US Senator,Republican,54,3/4/1968,3,"Deputy Minority Whip | Ethics (Ranking Member), Finance, Energy, Homeland Security, Indian Affairs"
D-VT,Outgoing Sen Patrick Leahy ,US Senator,Democrat,81,3/31/1940,8,"Member, President Pro Tempore | Appropriations (Chair), Judiciary, Agriculture, Senate Rules, Library"
R-UT,Sen Mike Lee ,US Senator,Republican,50,6/4/1971,3,"Chairman | Economy (Ranking Member), Judiciary, Energy, Commerce, Aging"
D-NM,Sen Ben Luján ,US Senator,Democrat,49,6/7/1972,3,"Budget, HELP, Commerce, Agriculture, Indian Affairs"
R-WY,Sen Cynthia Lummis ,US Senator,Republican,67,9/10/1954,1,"Banking, Commerce, Environment"
D-WV,Sen Joe Manchin ,US Senator,Democrat,74,8/24/1947,3,"Vice Chair, Vice Chair of the Senate Democratic Policy and Communications Committee | Energy (Chair), Appropriations, Armed Services, Veterans' Affairs"
D-MA,Sen Ed Markey ,US Senator,Democrat,75,7/11/1946,9,"Member | Foreign Relations, Small Business, Commerce, Environment"
R-KS,Sen Roger Marshall ,US Senator,Republican,61,8/9/1960,2,"Energy, HELP, Small Business, Agriculture"
R-KY,Leader Mitch McConnell ,US Senator,Republican,80,2/20/1942,7,"Senate Minority Leader | Appropriations, Agriculture, Senate Rules"
D-NJ,Sen Bob Menendez ,US Senator,Democrat,68,1/1/1954,6,"Chair | Foreign Relations (Chair), Finance, Banking"
D-OR,Sen Jeff Merkley ,US Senator,Democrat,65,10/24/1956,3,"Chief Deputy Majority Whip, Member | Appropriations, Budget, Foreign Relations, Environment, Senate Rules"
R-KS,Sen Jerry Moran ,US Senator,Republican,67,5/29/1954,6,"Veterans' Affairs (Ranking Member), Appropriations, Banking, HELP, Commerce, Indian Affairs"
R-OK,Sen elect Markwayne Mullin ,US Senator,Republican,44,7/26/1977,1,"Member | Energy, Intelligence"
R-AK,Sen Lisa Murkowski ,US Senator,Republican,64,5/22/1957,5,"Indian Affairs (Ranking Member), Appropriations, Energy, HELP"
D-CT,Sen Chris Murphy ,US Senator,Democrat,48,8/3/1973,3,"Member | Appropriations, Foreign Relations, HELP"
D-WA,Sen Patty Murray ,US Senator,Democrat,71,10/11/1950,6,"Assistant Majority Leader, Ex-Officio Member, Member | HELP (Chair), Appropriations, Budget, Veterans' Affairs"
D-GA,Sen Jon Ossoff ,US Senator,Democrat,35,2/16/1987,1,"Banking, Judiciary, Homeland Security, Senate Rules"
D-CA,Sen Alex Padilla ,US Senator,Democrat,48,3/22/1973,2,"Budget, Judiciary, Homeland Security, Environment, Senate Rules, Printing"
R-KY,Sen Rand Paul ,US Senator,Republican,59,1/7/1963,3,"Small Business (Ranking Member), Foreign Relations, HELP, Homeland Security"
D-MI,Sen Gary Peters ,US Senator,Democrat,63,12/1/1958,3,"Chair | Homeland Security (Chair), Armed Services, Commerce"
R-OH,Outgoing Sen Rob Portman ,US Senator,Republican,66,12/19/1955,2,"Counsel to the Minority Leader, Deputy Minority Whip | Homeland Security (Ranking Member), Finance, Foreign Relations, Economy"
D-RI,Sen Jack Reed ,US Senator,Democrat,72,11/12/1949,6,"Member, Regional Chair | Armed Services (Chair), Appropriations, Banking"
R-ID,Sen Jim Risch ,US Senator,Republican,78,5/3/1943,3,"Foreign Relations (Ranking Member), Energy, Intelligence, Small Business, Ethics"
R-UT,Sen Mitt Romney ,US Senator,Republican,75,3/12/1947,1,"Budget, Foreign Relations, HELP, Homeland Security"
D-NV,Sen Jacky Rosen ,US Senator,Democrat,64,8/2/1957,2,"Armed Services, HELP, Homeland Security, Small Business, Commerce, Aging"
R-SD,Sen Mike Rounds ,US Senator,Republican,67,10/24/1954,2,"Banking, Foreign Relations, Armed Services, Indian Affairs, Veterans' Affairs"
R-FL,Sen Marco Rubio ,US Senator,Republican,50,5/28/1971,3,"Intelligence (Vice Chair), Appropriations, Foreign Relations, Small Business, Aging"
I-VT,Sen Bernie Sanders ,US Senator,Independent,80,9/8/1941,6,"Chair of Outreach | Budget (Chair), Energy, HELP, Environment, Veterans' Affairs"
R-NE,Outgoing Sen Ben Sasse ,US Senator,Republican,50,2/22/1972,2,"Finance, Budget, Judiciary, Intelligence"
D-HI,Sen Brian Schatz ,US Senator,Democrat,49,10/20/1972,3,"Chair, Chief Deputy Majority Whip, Deputy Conference Secretary, Member | Indian Affairs (Chair), Appropriations, Foreign Relations, Commerce, Ethics"
R-MO,Sen elect Eric Schmitt ,US Senator,Republican,47,6/20/1975,1,
D-NY,Leader Chuck Schumer ,US Senator,Democrat,71,11/23/1950,8,"Chairman, Member, Senate Majority Leader | Senate Rules"
R-FL,Sen Rick Scott ,US Senator,Republican,69,12/1/1952,1,"Chairman | Budget, Armed Services, Homeland Security, Commerce, Aging"
R-SC,Sen Tim Scott ,US Senator,Republican,56,9/19/1965,3,"Assistant Chair, Deputy Minority Whip | Aging (Ranking Member), Finance, Banking, HELP, Small Business"
D-NH,Sen Jeanne Shaheen ,US Senator,Democrat,75,1/28/1947,3,"Member, Vice Chair | Appropriations, Foreign Relations, Armed Services, Small Business, Ethics"
R-AL,Outgoing Sen Richard Shelby ,US Senator,Republican,87,5/6/1934,8,"Appropriations (Ranking Member), Banking, Environment, Senate Rules, Library"
I-AZ,Sen Kyrsten Sinema ,US Senator,Independent,45,7/12/1976,2,"Banking, Homeland Security, Commerce, Veterans' Affairs"
D-MN,Sen Tina Smith ,US Senator,Democrat,64,3/4/1958,2,"Member | Banking, HELP, Agriculture, Indian Affairs"
D-MI,Sen Debbie Stabenow ,US Senator,Democrat,71,4/29/1950,5,"Chair, Chair of the Senate Democratic Policy and Communication Committee, Member | Agriculture (Chair), Finance, Budget, Environment, Taxation"
R-AK,Sen Dan Sullivan ,US Senator,Republican,57,11/13/1964,2,"Armed Services, Commerce, Environment, Veterans' Affairs"
D-MT,Sen Jon Tester ,US Senator,Democrat,65,8/21/1956,3,"Member | Veterans' Affairs (Chair), Appropriations, Banking, Commerce, Indian Affairs"
R-SD,Whip John Thune ,US Senator,Republican,61,1/7/1961,4,"Senate Minority Whip | Finance, Commerce, Agriculture"
R-NC,Sen Thom Tillis ,US Senator,Republican,61,8/30/1960,2,"Deputy Minority Whip, Vice Chairman | Banking, Judiciary, Armed Services, Veterans' Affairs"
R-PA,Outgoing Sen Pat Toomey ,US Senator,Republican,60,11/17/1961,2,"Banking (Ranking Member), Finance, Budget"
R-AL,Sen Tommy Tuberville ,US Senator,Republican,67,9/18/1954,1,"Armed Services, HELP, Agriculture, Veterans' Affairs"
R-OH,Sen elect David Vance ,US Senator,Republican,38,8/2/1984,1,
D-MD,Sen Chris Van Hollen ,US Senator,Democrat,63,1/10/1959,5,"Appropriations, Banking, Budget, Foreign Relations"
D-VA,Sen Mark Warner ,US Senator,Democrat,67,12/15/1954,3,"Member, Vice Chair of the Conference | Intelligence (Chair), Finance, Banking, Budget, Senate Rules, Library"
D-GA,Sen Raphael Warnock ,US Senator,Democrat,52,7/23/1969,2,"Banking, Commerce, Agriculture, Aging, Economy"
D-MA,Sen Elizabeth Warren ,US Senator,Democrat,72,6/22/1949,2,"Member, Vice Chair of the Conference | Finance, Banking, Armed Services, Aging"
D-VT,Sen elect Peter Welch ,US Senator,Democrat,74,5/2/1947,1,"Chief Deputy Majority Whip | Energy, Intelligence, Oversight"
D-RI,Sen Sheldon Whitehouse ,US Senator,Democrat,66,10/20/1955,3,"Member | Finance, Budget, Judiciary, Environment"
R-MS,Sen Roger Wicker ,US Senator,Republican,70,7/5/1951,5,"Counsel to the Minority Leader | Commerce (Ranking Member), Armed Services, Environment, Senate Rules, Printing"
D-OR,Sen Ron Wyden ,US Senator,Democrat,72,5/3/1949,8,"Member | Finance (Chair), Taxation (Vice Chair), Budget, Energy, Intelligence"
R-IN,Sen Todd Young ,US Senator,Republican,49,8/24/1972,3,"Deputy Minority Whip | Finance, Foreign Relations, Small Business, Commerce"
D-NC-12,Rep Alma Adams ,US Representative,Democrat,75,5/27/1946,6,"Member | Financial Services, Agriculture, Education"
R-AL-4,Rep Robert Aderholt ,US Representative,Republican,56,7/22/1965,14,Appropriations
D-CA-31,Rep Pete Aguilar ,US Representative,Democrat,42,6/19/1979,5,"Chairman, Co-Chair, Democratic Caucus Chair, Member, Vice Chair | Appropriations, House Administration, U.S. Capitol"
R-MO-4,Rep elect Mark Alford ,US Representative,Republican,59,10/4/1963,1,
R-GA-12,Rep Rick Allen ,US Representative,Republican,70,11/7/1951,5,"Member | Agriculture, Education"
D-TX-32,Rep Colin Allred ,US Representative,Democrat,38,4/15/1983,3,"Caucus Leadership Representative of Five Terms or Less, Chief Deputy Whip, Member, Vice Chair | Foreign Affairs, Transportation, Veterans' Affairs"
R-NV-2,Rep Mark Amodei ,US Representative,Republican,63,6/12/1958,7,Appropriations
R-ND-1,Rep Kelly Armstrong ,US Representative,Republican,45,10/8/1976,3,"Member, Small States Representative, Vice Chair for State Party Outreach | Energy, Ethics, Climate Crisis"
R-TX-19,Rep Jodey Arrington ,US Representative,Republican,50,3/9/1972,4,"Deputy Chair, Member | Ways and Means, Economy, Economic Disparity and Fairness in Growth"
D-MA-4,Rep Jake Auchincloss ,US Representative,Democrat,34,1/29/1988,2,"Financial Services (Vice Chair), Transportation"
D-IA-3,Outgoing Rep Cindy Axne ,US Representative,Democrat,56,4/20/1965,2,"Member | Financial Services, Agriculture"
R-TX-36,Rep Brian Babin ,US Representative,Republican,73,3/23/1948,5,"Transportation, Science / Technology"
R-NE-2,Rep Don Bacon ,US Representative,Republican,58,8/16/1963,4,"Member | Armed Services, Agriculture"
R-IN-4,Rep Jim Baird ,US Representative,Republican,76,6/4/1945,3,"Agriculture, Science / Technology"
R-OH-12,Rep Troy Balderson ,US Representative,Republican,60,1/16/1962,4,"Agriculture, Transportation"
D-VT-1,Rep elect Becca Balint ,US Representative,Democrat,54,5/4/1968,1,President Pro Tem
R-IN-3,Rep Jim Banks ,US Representative,Republican,42,7/16/1979,4,"Member, Region VI Representative | Armed Services, Education, Veterans' Affairs"
R-KY-6,Rep Andy Barr ,US Representative,Republican,48,7/24/1973,6,"Member | Financial Services, Foreign Affairs"
D-CA-44,Rep Nanette Barragán ,US Representative,Democrat,45,9/15/1976,4,"Member | Energy, Homeland Security"
R-FL-4,Rep elect Aaron Bean ,US Representative,Republican,55,1/25/1967,1,President Pro Tempore
D-OH-3,Rep Joyce Beatty ,US Representative,Democrat,72,3/12/1950,6,"Member | Financial Services, Economy"
R-OR-2,Rep Cliff Bentz ,US Representative,Republican,70,1/12/1952,2,"Member | Judiciary, Natural Resources"
D-CA-7,Rep Ami Bera ,US Representative,Democrat,57,3/2/1965,6,"Co-Chair, Member | Foreign Affairs, Science / Technology"
R-MI-1,Rep Jack Bergman ,US Representative,Republican,75,2/2/1947,4,"Member | Armed Services, Veterans' Affairs"
D-VA-8,Rep Don Beyer ,US Representative,Democrat,71,6/20/1950,5,"Finance Co-Chair | Economy (Chair), Ways and Means, Science / Technology"
R-OK-5,Rep Stephanie Bice ,US Representative,Republican,48,11/11/1973,2,"Member | Armed Services, Science / Technology, Economic Disparity and Fairness in Growth"
R-AZ-5,Rep Andy Biggs ,US Representative,Republican,63,11/7/1958,4,"Judiciary, Oversight"
R-FL-12,Rep Gus Bilirakis ,US Representative,Republican,59,2/8/1963,9,Member | Energy
R-NC-9,Rep Dan Bishop ,US Representative,Republican,57,7/1/1964,3,"Member | Judiciary, Homeland Security"
D-GA-2,Rep Sanford Bishop ,US Representative,Democrat,75,2/4/1947,16,"Appropriations, Agriculture"
D-OR-3,Rep Earl Blumenauer ,US Representative,Democrat,73,8/16/1948,15,Ways and Means
D-DE-1,Rep Lisa Blunt Rochester ,US Representative,Democrat,60,2/10/1962,4,Member | Energy
R-CO-3,Rep Lauren Boebert ,US Representative,Republican,35,12/1/1986,2,"Member | Budget, Natural Resources"
D-OR-1,Rep Suzanne Bonamici ,US Representative,Democrat,67,10/14/1954,7,"Member | Education, Science / Technology, Climate Crisis"
R-IL-12,Rep Mike Bost ,US Representative,Republican,61,12/30/1960,5,"Veterans' Affairs (Ranking Member), Transportation"
D-GA-7,Outgoing Rep Carolyn Bourdeaux ,US Representative,Democrat,51,6/3/1970,1,"Small Business, Transportation"
D-NY-16,Rep Jamaal Bowman ,US Representative,Democrat,45,4/1/1976,2,"Education, Science / Technology"
D-PA-2,Rep Brendan Boyle ,US Representative,Democrat,45,2/6/1977,5,"Budget (Vice Chair), Ways and Means"
R-TX-8,Outgoing Rep Kevin Brady ,US Representative,Republican,66,4/11/1955,13,"Texas Representative I | Ways and Means (Ranking Member), Taxation"
R-OK-2,Rep elect Josh Brecheen ,US Representative,Republican,43,6/19/1979,1,
R-AL-5,Outgoing Rep Mo Brooks ,US Representative,Republican,67,4/29/1954,6,"Armed Services, Science / Technology"
D-OH-11,Rep Shontel Brown ,US Representative,Democrat,46,6/24/1975,2,"Agriculture, Oversight"
D-CA-26,Rep Julia Brownley ,US Representative,Democrat,69,8/28/1952,6,"Member | Natural Resources, Transportation, Veterans' Affairs, Climate Crisis"
R-FL-16,Rep Vern Buchanan ,US Representative,Republican,70,5/8/1951,9,Florida Representative | Ways and Means
R-CO-4,Rep Ken Buck ,US Representative,Republican,63,2/16/1959,5,"Judiciary, Foreign Affairs"
R-IN-8,Rep Larry Bucshon ,US Representative,Republican,59,5/31/1962,7,"Chair, Member | Energy"
D-IL-13,Rep elect Nikki Budzinski ,US Representative,Democrat,45,3/11/1977,1,
R-TN-2,Rep Tim Burchett ,US Representative,Republican,57,8/25/1964,3,"Foreign Affairs, Transportation"
R-TX-26,Rep Mike Burgess ,US Representative,Republican,71,12/23/1950,11,"Member | Rules, Budget, Energy"
R-MO-7,Rep elect Eric Burlison ,US Representative,Republican,46,10/2/1976,1,
D-MO-1,Rep Cori Bush ,US Representative,Democrat,45,7/21/1976,2,"Member | Judiciary, Oversight"
D-IL-17,Outgoing Rep Cheri Bustos ,US Representative,Democrat,60,10/17/1961,5,"Co-Chair, DCCC Chairwoman, Member | Appropriations, Agriculture"
D-NC-1,Outgoing Rep Kenneth Butterfield ,US Representative,Democrat,74,4/27/1947,10,"Chief Deputy Majority Whip, Senior Chief Deputy Majority Whip | Energy, House Administration, Library"
R-CA-42,Rep Ken Calvert ,US Representative,Republican,68,6/8/1953,16,"Deputy Chair, Member | Appropriations"
R-FL-3,Rep Kat Cammack ,US Representative,Republican,34,2/16/1988,2,"Member | Agriculture, Homeland Security, Economic Disparity and Fairness in Growth"
D-CO-8,Rep elect Yadira Caraveo ,US Representative,Democrat,42,12/23/1980,1,
D-CA-24,Rep Salud Carbajal ,US Representative,Democrat,57,11/18/1964,4,"Armed Services, Agriculture, Transportation"
D-CA-29,Rep Tony Cárdenas ,US Representative,Democrat,58,3/31/1963,6,Energy
R-OH-15,Rep Mike Carey ,US Representative,Republican,51,3/13/1971,2,"Budget, Science / Technology"
R-AL-1,Rep Jerry Carl ,US Representative,Republican,63,6/17/1958,2,"Armed Services, Natural Resources"
D-IN-7,Rep André Carson ,US Representative,Democrat,47,10/16/1974,9,"Intelligence, Transportation"
R-GA-1,Rep Buddy Carter ,US Representative,Republican,64,9/6/1957,5,"Deputy Chair, Member | Budget, Energy, Climate Crisis"
R-TX-31,Rep John Carter ,US Representative,Republican,80,11/6/1941,11,Texas Representative II | Appropriations
D-LA-2,Rep Troy Carter ,US Representative,Democrat,58,10/26/1963,2,"Small Business, Transportation"
D-PA-8,Rep Matt Cartwright ,US Representative,Democrat,60,5/1/1961,6,"Co-Chair, Member, Policy and Communications Committee Co-Chair | Appropriations"
D-TX-35,Rep elect Greg Casar ,US Representative,Democrat,33,5/4/1989,1,
D-HI-1,Rep Ed Case ,US Representative,Democrat,69,9/27/1952,3,"Appropriations, Natural Resources"
D-IL-6,Rep Sean Casten ,US Representative,Democrat,50,11/23/1971,3,"Member | Financial Services, Science / Technology, Climate Crisis"
D-FL-14,Rep Kathy Castor ,US Representative,Democrat,55,8/20/1966,9,"Member | Climate Crisis (Chair), Energy"
D-TX-20,Rep Joaquin Castro ,US Representative,Democrat,47,9/16/1974,6,"Co-Chair, Member | Foreign Affairs, Intelligence, Education"
R-NC-11,Outgoing Rep Madison Cawthorn ,US Representative,Republican,26,8/1/1995,1,"Member | Education, Veterans' Affairs"
R-OH-1,Outgoing Rep Steve Chabot ,US Representative,Republican,69,1/22/1953,6,"Judiciary, Foreign Affairs"
R-OR-5,Rep elect Lori Chavez-DeRemer ,US Representative,Republican,54,4/7/1968,1,
R-WY-1,Outgoing Rep Liz Cheney ,US Representative,Republican,55,7/28/1966,3,"Member | Armed Services, U.S. Capitol"
D-FL-20,Rep Sheila Cherfilus-McCormick ,US Representative,Democrat,43,1/25/1979,2,"Foreign Affairs, Transportation, Veterans' Affairs"
D-CA-27,Rep Judy Chu ,US Representative,Democrat,68,7/7/1953,8,"Member | Ways and Means, Budget, Small Business"
D-RI-1,Rep David Cicilline ,US Representative,Democrat,60,7/15/1961,7,"Policy and Communications Committee Chair | Judiciary, Foreign Affairs"
R-AZ-6,Rep elect Juan Ciscomani ,US Representative,Republican,40,8/30/1982,1,
D-MA-5,Whip Katherine Clark ,US Representative,Democrat,58,4/17/1963,6,"Assistant Speaker, Democratic Caucus Vice Chair, House Minority Whip, Member | Appropriations"
D-NY-9,Rep Yvette Clarke ,US Representative,Democrat,57,11/21/1964,9,"Member | Energy, Homeland Security"
D-MO-5,Rep Emanuel Cleaver ,US Representative,Democrat,77,10/26/1944,10,"Financial Services, Homeland Security, Modernization of Congress"
R-VA-6,Rep Ben Cline ,US Representative,Republican,50,2/29/1972,3,"Member | Appropriations, Budget"
R-TX-27,Rep Michael Cloud ,US Representative,Republican,46,5/13/1975,4,"Member | Agriculture, Oversight"
D-SC-6,Whip Jim Clyburn ,US Representative,Democrat,81,7/21/1940,16,"House Assistant Minority Leader, House Majority Whip"
R-GA-9,Rep Andrew Clyde ,US Representative,Republican,58,11/22/1963,2,"Member | Homeland Security, Oversight"
