,Age of Members of 117th Congress,Title,Party,Age,Birthday,Number of Terms,Committee List
D-NJ-7,Outgoing Rep Tom Malinowski ,US Representative,Democrat,56,9/23/1965,2,"Member | Foreign Affairs (Vice Chair), Homeland Security, Transportation"
R-NY-11,Rep Nicole Malliotakis ,US Representative,Republican,41,11/11/1980,2,"Assistant Whip, Member | Foreign Affairs, Transportation"
D-NY-12,Outgoing Rep Carolyn Maloney ,US Representative,Democrat,76,2/19/1946,15,"Member | Oversight (Chair), Financial Services"
D-NY-18,Outgoing Rep Sean Maloney ,US Representative,Democrat,55,7/30/1966,5,"Chair | Intelligence, Agriculture, Transportation"
R-KS-1,Rep Tracey Mann ,US Representative,Republican,45,12/17/1976,2,"Agriculture, Veterans' Affairs"
D-NC-6,Rep Kathy Manning ,US Representative,Democrat,65,12/3/1956,2,"Member | Foreign Affairs, Education"
R-KY-4,Rep Thomas Massie ,US Representative,Republican,51,1/13/1971,7,"Judiciary, Transportation"
R-FL-18,Rep Brian Mast ,US Representative,Republican,41,7/10/1980,4,"Member | Foreign Affairs, Transportation"
D-CA-6,Rep Doris Matsui ,US Representative,Democrat,77,9/25/1944,10,Member | Energy
D-GA-6,Rep Lucy McBath ,US Representative,Democrat,61,6/1/1960,3,"Member | Judiciary, Education"
R-CA-23,Leader Kevin McCarthy ,US Representative,Republican,57,1/26/1965,9,"House Minority Leader, Republican Leader, Speaker of the House"
R-TX-10,Rep Michael McCaul ,US Representative,Republican,60,1/14/1962,10,"Chair, Member | Foreign Affairs (Ranking Member), Homeland Security"
R-MI-10,Rep Lisa McClain ,US Representative,Republican,55,4/7/1966,2,"Member, Secretary | Armed Services, Education"
R-CA-4,Rep Tom McClintock ,US Representative,Republican,65,7/10/1956,8,"Member | Budget, Judiciary, Natural Resources"
D-MN-4,Rep Betty McCollum ,US Representative,Democrat,67,7/12/1954,12,"Member | Appropriations, Natural Resources"
R-GA-6,Rep elect Richard McCormick ,US Representative,Republican,75,7/20/1947,1,
D-KY-3,Rep elect Morgan McGarvey ,US Representative,Democrat,43,12/23/1979,1,Minority Floor Leader
D-MA-2,Rep Jim McGovern ,US Representative,Democrat,62,11/20/1959,14,"Rules (Chair), Agriculture"
R-NC-10,Rep Patrick McHenry ,US Representative,Republican,46,10/22/1975,10,"Chair, Region III Representative | Financial Services (Ranking Member)"
R-WV-1,Outgoing Rep David McKinley ,US Representative,Republican,74,3/28/1947,6,Member | Energy
R-WA-5,Rep Cathy McMorris Rodgers ,US Representative,Republican,52,5/22/1969,10,"Chair, Member, Region XI Representative | Energy (Ranking Member)"
D-CA-9,Outgoing Rep Jerry McNerney ,US Representative,Democrat,70,6/18/1951,8,"Energy, Science / Technology"
D-NY-5,Rep Gregory Meeks ,US Representative,Democrat,68,9/25/1953,14,"Foreign Affairs (Chair), Financial Services"
R-MI-3,Outgoing Rep Peter Meijer ,US Representative,Republican,34,1/10/1988,1,"Foreign Affairs, Homeland Security, Science / Technology"
D-NJ-8,Rep elect Rob Menendez ,US Representative,Democrat,37,7/12/1985,1,
D-NY-6,Rep Grace Meng ,US Representative,Democrat,46,10/1/1975,6,"Member, Organization, Study, and Review Chair | Appropriations"
R-PA-9,Rep Dan Meuser ,US Representative,Republican,58,2/10/1964,3,"Foreign Affairs, Small Business"
D-MD-7,Rep Kweisi Mfume ,US Representative,Democrat,73,10/24/1948,3,"Small Business (Vice Chair), Education, Oversight"
R-WV-3,Rep Carol Miller ,US Representative,Republican,71,11/4/1950,3,"Assistant Whip, Vice Chair for Recruitment | Ways and Means, Climate Crisis"
R-IL-15,Rep Mary Miller ,US Representative,Republican,62,8/27/1959,2,"Member | Agriculture, Education"
R-OH-7,Rep elect Max Miller ,US Representative,Republican,34,11/13/1988,1,118th Class Representative
R-IA-2,Rep Mariannette Miller-Meeks ,US Representative,Republican,66,9/6/1955,2,"Chair, Member | Education, Homeland Security, Veterans' Affairs"
R-FL-7,Rep elect Cory Mills ,US Representative,Republican,42,7/13/1980,1,
R-NY-19,Rep elect Marc Molinaro ,US Representative,Republican,47,10/8/1975,1,
R-MI-4,Rep John Moolenaar ,US Representative,Republican,60,5/8/1961,5,Appropriations
R-WV-2,Rep Alex Mooney ,US Representative,Republican,50,6/7/1971,5,Member | Financial Services
R-AL-2,Rep Barry Moore ,US Representative,Republican,55,9/26/1966,2,"Agriculture, Veterans' Affairs"
R-UT-1,Rep Blake Moore ,US Representative,Republican,41,6/22/1980,2,"Assistant Whip, Member | Budget, Armed Services, Natural Resources"
D-WI-4,Rep Gwen Moore ,US Representative,Democrat,70,4/18/1951,10,"Co-Chair, Member, Vice Chair | Ways and Means, Science / Technology, Economic Disparity and Fairness in Growth"
R-TX-1,Rep elect Nathaniel Moran ,US Representative,Republican,48,7/22/1974,1,
D-NY-25,Rep Joe Morelle ,US Representative,Democrat,64,4/29/1957,4,"Rules, Appropriations, Budget"
D-FL-23,Rep elect Jared Moskowitz ,US Representative,Democrat,42,12/18/1942,1,
D-MA-6,Rep Seth Moulton ,US Representative,Democrat,43,10/24/1978,5,"Budget, Armed Services, Transportation"
D-IN-1,Rep Frank Mrvan ,US Representative,Democrat,52,4/16/1969,2,"Education, Veterans' Affairs"
D-CA-15,Rep elect Kevin Mullin ,US Representative,Democrat,52,6/15/1970,1,Speaker Pro Tempore
R-NC-3,Rep Greg Murphy ,US Representative,Republican,59,3/5/1963,3,Member | Ways and Means
D-FL-7,Outgoing Rep Stephanie Murphy ,US Representative,Democrat,43,9/16/1978,3,"Chair Emeritus, Chief Deputy Majority Whip, Member | Ways and Means, Armed Services, U.S. Capitol"
D-NY-10,Rep Jerry Nadler ,US Representative,Democrat,74,6/13/1947,17,Judiciary (Chair)
D-CA-32,Rep Grace Napolitano ,US Representative,Democrat,85,12/4/1936,13,"Member | Natural Resources, Transportation"
D-MA-1,Rep Richard Neal ,US Representative,Democrat,73,2/14/1949,18,"Co-Chair, Ways and Means Chair | Ways and Means (Chair), Taxation (Chair)"
D-CO-2,Rep Joe Neguse ,US Representative,Democrat,37,5/13/1984,3,"Chair, Co-Chair, Member, Policy and Communications Committee Chair | Rules, Judiciary, Natural Resources, Climate Crisis"
R-TX-22,Rep Troy Nehls ,US Representative,Republican,53,4/7/1968,2,"Member | Transportation, Veterans' Affairs"
R-WA-4,Rep Dan Newhouse ,US Representative,Republican,66,7/10/1955,5,Assistant Whip | Appropriations
D-IL-3,Outgoing Rep Marie Newman ,US Representative,Democrat,57,4/13/1964,1,"Member | Small Business, Transportation"
D-NC-13,Rep elect Wiley Nickel ,US Representative,Democrat,47,11/23/1975,1,
D-NJ-1,Rep Donald Norcross ,US Representative,Democrat,63,12/3/1958,6,"Armed Services, Education, Science / Technology"
R-SC-5,Rep Ralph Norman ,US Representative,Republican,68,6/20/1953,4,"Member | Financial Services, Oversight"
D-DC-1,Del Eleanor Norton ,US Delegate,Democrat,84,6/13/1937,17,"Member | Transportation, Oversight"
R-IA-3,Rep elect Zach Nunn ,US Representative,Republican,43,5/4/1979,1,
R-CA-8,Rep Jay Obernolte ,US Representative,Republican,51,8/18/1970,2,"Member | Budget, Natural Resources, Science / Technology"
D-NY-14,Rep Alexandria Ocasio-Cortez ,US Representative,Democrat,32,10/13/1989,3,"Member | Financial Services, Oversight, Economic Disparity and Fairness in Growth"
R-TN-5,Rep elect Andy Ogles ,US Representative,Republican,51,6/18/1971,1,
D-AZ-1,Outgoing Rep Tom O'Halleran ,US Representative,Democrat,76,1/24/1946,3,"Member | Energy, Agriculture"
D-MN-5,Rep Ilhan Omar ,US Representative,Democrat,39,10/4/1982,3,"Member | Foreign Affairs, Education"
R-UT-4,Rep Burgess Owens ,US Representative,Republican,70,8/2/1951,2,"Member | Judiciary, Education"
R-MS-4,Outgoing Rep Steven Palazzo ,US Representative,Republican,52,2/21/1970,6,Member | Appropriations
D-NJ-6,Rep Frank Pallone ,US Representative,Democrat,70,10/30/1951,19,Energy and Commerce Chair | Energy (Chair)
R-AL-6,Rep Gary Palmer ,US Representative,Republican,67,5/14/1954,5,"Chairman, Policy Chair | Energy, Climate Crisis"
D-CA-20,Rep Jimmy Panetta ,US Representative,Democrat,52,10/1/1969,4,"Assistant Whip, Chief Deputy Whip, Member | Ways and Means, Armed Services, Agriculture"
D-NH-1,Rep Chris Pappas ,US Representative,Democrat,41,6/4/1980,3,"Member | Transportation, Veterans' Affairs"
D-NJ-9,Rep Bill Pascrell ,US Representative,Democrat,85,1/25/1937,14,Ways and Means
D-NJ-10,Rep Donald Payne ,US Representative,Democrat,63,12/17/1958,7,"Homeland Security, Transportation"
D-CA-12,Speaker Nancy Pelosi ,US Representative,Democrat,81,3/26/1940,19,"Chair, Member, Speaker of the House"
D-AK-1,Rep Mary Peltola ,US Representative,Democrat,49,8/31/1973,2,"Natural Resources, Education"
R-IN-6,Rep Greg Pence ,US Representative,Republican,65,11/14/1956,3,Member | Energy
D-CO-7,Outgoing Rep Ed Perlmutter ,US Representative,Democrat,68,5/1/1953,8,"Rules, Financial Services, Science / Technology, Modernization of Congress"
R-PA-10,Rep Scott Perry ,US Representative,Republican,59,5/27/1962,6,"Member | Foreign Affairs, Transportation"
D-CA-52,Rep Scott Peters ,US Representative,Democrat,63,6/17/1958,6,"Member, Vice Chair | Budget, Energy, Small Business, Economy"
D-CO-7,Rep elect Brittany Pettersen ,US Representative,Democrat,41,Dec-81,1,
R-TX-11,Rep August Pfluger ,US Representative,Republican,43,12/28/1978,2,"117th Class Representative, Assistant Whip | Foreign Affairs, Homeland Security"
D-MN-3,Rep Dean Phillips ,US Representative,Democrat,53,1/20/1969,3,"Co-Chair, Policy and Communications Committee Co-Chair | Foreign Affairs, Small Business, Ethics, Modernization of Congress"
D-ME-1,Rep Chellie Pingree ,US Representative,Democrat,66,4/2/1955,8,"Member | Appropriations, Agriculture"
D-VI-1,Del Stacey Plaskett ,US Delegate,Democrat,55,5/13/1966,5,"Member | Ways and Means, Budget, Agriculture"
D-WI-2,Rep Mark Pocan ,US Representative,Democrat,57,8/14/1964,6,"Co-Chair | Appropriations, Education, Economy"
D-CA-45,Rep Katie Porter ,US Representative,Democrat,48,1/3/1974,3,"Member | Natural Resources, Oversight"
R-FL-8,Rep Bill Posey ,US Representative,Republican,74,12/18/1947,8,"Financial Services, Science / Technology"
D-MA-7,Rep Ayanna Pressley ,US Representative,Democrat,48,2/3/1974,3,"Member | Financial Services, Oversight"
D-NC-4,Outgoing Rep David Price ,US Representative,Democrat,81,8/17/1940,13,"Appropriations, Budget"
D-IL-5,Rep Mike Quigley ,US Representative,Democrat,63,10/17/1958,8,"Appropriations, Intelligence"
R-AS-1,Del Aumua Amata Radewagen ,US Delegate,Republican,74,12/29/1947,5,"Natural Resources (Assistant Ranking Minority Member), Veterans' Affairs (Assistant Ranking Minority Member)"
D-IL-3,Rep elect Delia Ramirez ,US Representative,Democrat,39,6/2/1983,1,Assistant Majority Leader
D-MD-8,Rep Jamie Raskin ,US Representative,Democrat,59,12/13/1962,4,"Rules, Judiciary, Oversight, House Administration, Printing, U.S. Capitol"
R-PA-14,Rep Guy Reschenthaler ,US Representative,Republican,38,4/17/1983,3,"Chief Deputy Whip, Member | Rules, Appropriations, Modernization of Congress"
D-NY-4,Outgoing Rep Kathleen Rice ,US Representative,Democrat,57,2/15/1965,4,"Member | Energy, Homeland Security"
R-SC-7,Outgoing Rep Tom Rice ,US Representative,Republican,64,8/4/1957,5,Ways and Means
R-KY-5,Rep Hal Rogers ,US Representative,Republican,84,12/31/1937,22,Member | Appropriations
R-AL-3,Rep Mike Rogers ,US Representative,Republican,63,7/16/1958,11,Region V Representative | Armed Services (Ranking Member)
R-TN-6,Rep John Rose ,US Representative,Republican,57,2/23/1965,3,Member | Financial Services
R-MT-1,Rep Matt Rosendale ,US Representative,Republican,61,7/7/1960,2,"Natural Resources, Veterans' Affairs"
D-NC-2,Rep Deborah Ross ,US Representative,Democrat,58,6/20/1963,2,"Chief Deputy Whip, Member | Rules, Judiciary, Science / Technology"
R-NC-7,Rep David Rouzer ,US Representative,Republican,50,2/16/1972,5,"Agriculture, Transportation"
R-TX-21,Rep Chip Roy ,US Representative,Republican,49,8/7/1972,3,"Member | Judiciary, Veterans' Affairs"
D-CA-40,Outgoing Rep Lucille Roybal-Allard ,US Representative,Democrat,80,6/12/1941,15,Member | Appropriations
D-CA-36,Rep Raul Ruiz ,US Representative,Democrat,49,8/25/1972,6,"Co-Chair, Member | Energy, Veterans' Affairs"
D-MD-2,Dutch Ruppersberger,US Representative,Democrat,76,1/31/1946,11,Appropriations
D-IL-1,Outgoing Rep Bobby Rush ,US Representative,Democrat,75,11/23/1946,15,"Energy, Agriculture"
R-FL-4,Rep John Rutherford ,US Representative,Republican,69,9/2/1952,4,"Member | Appropriations, Ethics"
D-NY-19,Rep Patrick Ryan ,US Representative,Democrat,40,3/28/1982,2,Armed Services
D-OH-13,Outgoing Rep Tim Ryan ,US Representative,Democrat,48,7/16/1973,10,Appropriations
D-MP-1,Del Gregorio Sablan ,US Delegate,Democrat,67,1/19/1955,8,"Natural Resources (Vice Chair), Agriculture, Education, Veterans' Affairs"
R-FL-27,Rep Maria Salazar ,US Representative,Republican,60,11/1/1961,2,"Assistant Whip, Member | Foreign Affairs, Small Business"
D-OR-6,Rep elect Andrea Salinas ,US Representative,Democrat,53,Dec-69,1,
D-CA-38,Rep Linda Sánchez ,US Representative,Democrat,53,1/28/1969,11,"Chief Deputy Whip, Co-Chair, Member | Ways and Means"
D-GU-1,Outgoing Del Michael San Nicolas ,US Delegate,Democrat,41,1/30/1981,2,"Member | Financial Services, Natural Resources"
D-MD-3,Rep John Sarbanes ,US Representative,Democrat,59,5/22/1962,9,"Energy, Oversight"
R-LA-1,Whip Steve Scalise ,US Representative,Republican,56,10/6/1965,9,"Commitment to America implementation, House Majority Leader, House Minority Whip, Republican Whip | Energy"
D-PA-5,Rep Mary Scanlon ,US Representative,Democrat,62,8/30/1959,4,"Member | Judiciary (Vice Chair), Rules, House Administration"
D-IL-9,Rep Jan Schakowsky ,US Representative,Democrat,77,5/26/1944,13,"Chief Deputy Whip, Member, National Chair for Candidate Services, Senior Chief Deputy Majority Whip | Budget, Energy"
D-CA-28,Rep Adam Schiff ,US Representative,Democrat,61,6/22/1960,12,"Intelligence (Chair), U.S. Capitol"
D-IL-10,Rep Brad Schneider ,US Representative,Democrat,60,8/20/1961,4,"Member | Ways and Means, Foreign Affairs"
D-MI-3,Rep elect Hillary Scholten ,US Representative,Democrat,40,2/22/1982,1,
D-OR-5,Outgoing Rep Kurt Schrader ,US Representative,Democrat,70,10/19/1951,7,Energy
D-WA-8,Rep Kim Schrier ,US Representative,Democrat,53,8/23/1968,3,"Member | Energy, Agriculture"
R-AZ-6,Rep David Schweikert ,US Representative,Republican,60,3/3/1962,7,"Member | Ways and Means, Economy"
R-GA-8,Rep Austin Scott ,US Representative,Republican,52,12/10/1969,7,"Member | Armed Services, Agriculture"
D-VA-3,Rep Bobby Scott ,US Representative,Democrat,74,4/30/1947,16,"Co-Chair | Education (Chair), Budget"
D-GA-13,Rep David Scott ,US Representative,Democrat,76,6/27/1945,11,"Agriculture (Chair), Financial Services"
R-TX-3,Rep elect Keith Self ,US Representative,Republican,69,3/20/1953,1,
R-NY-23,Outgoing Rep Joe Sempolinski ,US Representative,Republican,39,2/10/1983,1,"Budget, Education"
R-TX-17,Rep Pete Sessions ,US Representative,Republican,66,3/22/1955,2,"Financial Services, Oversight"
D-AL-7,Rep Terri Sewell ,US Representative,Democrat,57,1/1/1965,7,"Chief Deputy Majority Whip, Chief Deputy Whip, Co-Chair, Member | Ways and Means"
D-CA-30,Rep Brad Sherman ,US Representative,Democrat,67,10/24/1954,14,"Financial Services, Foreign Affairs, Science / Technology"
D-NJ-11,Rep Mikie Sherrill ,US Representative,Democrat,50,1/19/1972,3,"Member | Armed Services, Education, Science / Technology"
R-ID-2,Rep Mike Simpson ,US Representative,Republican,71,9/8/1950,13,Appropriations
D-NJ-8,Outgoing Rep Albio Sires ,US Representative,Democrat,71,1/26/1951,9,"Budget, Foreign Affairs, Transportation"
D-MI-8,Rep Elissa Slotkin ,US Representative,Democrat,45,7/10/1976,3,"Member | Armed Services, Homeland Security, Veterans' Affairs"
D-WA-9,Rep Adam Smith ,US Representative,Democrat,56,6/15/1965,14,Armed Services (Chair)
R-NE-3,Rep Adrian Smith ,US Representative,Republican,51,12/19/1970,9,Member | Ways and Means
R-NJ-4,Rep Chris Smith ,US Representative,Republican,69,3/4/1953,22,Member | Foreign Affairs
R-MO-8,Rep Jason Smith ,US Representative,Republican,41,6/16/1980,6,"House Republican Conference Secretary | Budget (Ranking Member), Ways and Means"
R-PA-11,Rep Lloyd Smucker ,US Representative,Republican,58,1/23/1964,4,"Vice Chair for Business Outreach | Ways and Means, Budget"
D-IL-17,Rep elect Eric Sorensen ,US Representative,Democrat,46,3/18/1976,1,
D-FL-9,Rep Darren Soto ,US Representative,Democrat,44,2/25/1978,4,"Chair | Energy, Natural Resources"
D-VA-7,Rep Abigail Spanberger ,US Representative,Democrat,42,8/7/1979,3,"Battleground Representative, Member | Foreign Affairs, Agriculture"
R-IN-5,Rep Victoria Spartz ,US Representative,Republican,43,10/6/1978,2,"Member | Judiciary, Education"
D-CA-14,Outgoing Rep Jackie Speier ,US Representative,Democrat,71,5/14/1950,8,"Co-Chair | Armed Services, Intelligence, Oversight"
D-NM-1,Rep Melanie Stansbury ,US Representative,Democrat,43,1/31/1979,2,"Member | Natural Resources, Science / Technology"
D-AZ-9,Rep Greg Stanton ,US Representative,Democrat,52,3/8/1970,3,"Judiciary, Transportation"
R-MN-8,Rep Pete Stauber ,US Representative,Republican,55,5/10/1966,3,"Member | Natural Resources, Small Business, Transportation"
R-CA-48,Rep Michelle Steel ,US Representative,Republican,66,6/21/1955,2,"Education, Transportation"
R-NY-21,Rep Elise Stefanik ,US Representative,Republican,37,7/2/1984,5,"Chair, Region I Representative | Armed Services, Intelligence, Education"
R-WI-1,Rep Bryan Steil ,US Representative,Republican,41,3/1/1981,3,"Member, Restoring the People's House | Economic Disparity and Fairness in Growth (Ranking Member), Financial Services, House Administration"
R-FL-17,Rep Greg Steube ,US Representative,Republican,43,5/19/1978,3,"Member | Judiciary, Foreign Affairs"
D-MI-11,Rep Haley Stevens ,US Representative,Democrat,38,6/24/1983,3,"Vice Chair | Science / Technology (Vice Chair), Education"
R-UT-2,Rep Chris Stewart ,US Representative,Republican,61,7/15/1960,6,"Member | Appropriations, Intelligence"
D-WA-10,Rep Marilyn Strickland ,US Representative,Democrat,59,9/25/1962,2,"Chief Deputy Whip, Member | Armed Services, Transportation"
R-AL-5,Rep elect Dale Strong ,US Representative,Republican,52,5/8/1970,1,
D-NY-3,Outgoing Rep Tom Suozzi ,US Representative,Democrat,59,8/31/1962,3,Ways and Means
D-CA-15,Rep Eric Swalwell ,US Representative,Democrat,41,11/16/1980,6,"Chair Emeritus, Co-Chair, Member | Judiciary, Intelligence, Homeland Security"
D-OH-13,Rep elect Emilia Sykes ,US Representative,Democrat,36,1/4/1986,1,
D-CA-41,Rep Mark Takano ,US Representative,Democrat,61,12/10/1960,6,"Chair, Member | Veterans' Affairs (Chair), Education"
R-TX-3,Outgoing Rep Van Taylor ,US Representative,Republican,49,8/1/1972,2,Financial Services
R-NY-22,Rep Claudia Tenney ,US Representative,Republican,61,2/4/1961,2,"Member | Foreign Affairs, Small Business"
D-MI-13,Rep elect Shri Thanedar ,US Representative,Democrat,67,2/22/1955,1,
D-MS-2,Rep Bennie Thompson ,US Representative,Democrat,74,1/28/1948,16,"Homeland Security (Chair), U.S. Capitol (Chair)"
R-PA-15,Rep GT Thompson ,US Representative,Republican,62,7/27/1959,8,"Member | Agriculture (Ranking Member), Education"
D-CA-5,Rep Mike Thompson ,US Representative,Democrat,71,1/24/1951,13,"Ways and Means, Taxation"
R-WI-7,Rep Tom Tiffany ,US Representative,Republican,64,12/30/1957,3,"Judiciary, Natural Resources"
R-SC-4,Rep William Timmons ,US Representative,Republican,37,4/30/1984,3,"116th Class Representative | Modernization of Congress (Ranking Member), Financial Services"
D-NV-1,Rep Dina Titus ,US Representative,Democrat,71,5/23/1950,6,"Member | Foreign Affairs, Homeland Security, Transportation"
D-MI-13,Rep Rashida Tlaib ,US Representative,Democrat,45,7/24/1976,3,"Financial Services, Natural Resources, Oversight"
D-HI-2,Rep elect Jill Tokuda ,US Representative,Democrat,46,3/6/1976,1,
D-NY-20,Rep Paul Tonko ,US Representative,Democrat,72,6/18/1949,8,"Energy, Natural Resources, Science / Technology"
D-CA-35,Rep Norma Torres ,US Representative,Democrat,56,4/4/1965,5,"Co-Chair, Member | Rules, Appropriations"
D-NY-15,Rep Ritchie Torres ,US Representative,Democrat,34,3/12/1988,2,"Crescendo Meeting Representative, Member | Homeland Security (Vice Chair), Financial Services"
D-MA-3,Rep Lori Trahan ,US Representative,Democrat,48,10/27/1973,3,Energy
D-MD-6,Rep David Trone ,US Representative,Democrat,66,9/21/1955,3,"Appropriations, Veterans' Affairs, Economy"
R-OH-10,Rep Mike Turner ,US Representative,Republican,62,1/11/1960,11,"Intelligence (Ranking Member), Armed Services"
D-IL-14,Rep Lauren Underwood ,US Representative,Democrat,35,10/4/1986,3,"Co-Chair, Member, Policy and Communications Committee Co-Chair | Appropriations, Veterans' Affairs"
R-MI-6,Outgoing Rep Fred Upton ,US Representative,Republican,68,4/23/1953,18,Region VII Representative | Energy
R-CA-21,Rep David Valadao ,US Representative,Republican,44,4/14/1977,2,Appropriations
R-NJ-2,Rep Jeff Van Drew ,US Representative,Republican,69,2/23/1953,3,"Homeland Security, Transportation"
R-TX-24,Rep Beth Van Duyne ,US Representative,Republican,51,11/16/1970,2,"Member | Small Business, Transportation, Modernization of Congress"
R-WI-3,Rep elect Derrick Van Orden ,US Representative,Republican,53,9/15/1969,1,
D-CA-51,Rep Juan Vargas ,US Representative,Democrat,61,3/7/1961,6,"Financial Services, Foreign Affairs"
D-NM-2,Rep elect Gabe Vasquez ,US Representative,Democrat,38,8/3/1984,1,
D-TX-33,Rep Marc Veasey ,US Representative,Democrat,51,1/3/1971,6,"Co-Chair, Member, Vice Chair | Energy, Armed Services"
D-NY-7,Rep Nydia Velázquez ,US Representative,Democrat,68,3/28/1953,16,"Member | Small Business (Chair), Financial Services, Natural Resources"
R-MO-2,Rep Ann Wagner ,US Representative,Republican,59,9/13/1962,6,"Financial Services (Assistant Ranking Minority Member), Foreign Affairs (Assistant Ranking Minority Member)"
R-MI-7,Rep Tim Walberg ,US Representative,Republican,70,4/12/1951,7,"Energy, Education"
R-FL-6,Rep Mike Waltz ,US Representative,Republican,48,1/1/1974,3,"Member | Armed Services, Science / Technology"
D-FL-23,Rep Debbie Wasserman Schultz ,US Representative,Democrat,55,9/27/1966,10,"Chief Deputy Majority Whip, Co-Chair, Member | Appropriations, Oversight"
D-CA-43,Rep Maxine Waters ,US Representative,Democrat,83,8/15/1938,17,"Financial Services Chair, Member | Financial Services (Chair)"
D-NJ-12,Rep Bonnie Watson Coleman ,US Representative,Democrat,77,2/6/1945,5,"Member | Appropriations, Homeland Security"
R-TX-14,Rep Randy Weber ,US Representative,Republican,68,6/2/1953,6,"Transportation, Science / Technology"
R-FL-11,Rep Daniel Webster ,US Representative,Republican,72,4/27/1949,7,"Natural Resources, Transportation, Science / Technology"
R-OH-2,Rep Brad Wenstrup ,US Representative,Republican,63,6/17/1958,6,"Chair, Member | Ways and Means, Intelligence"
R-AR-4,Rep Bruce Westerman ,US Representative,Republican,54,11/18/1967,5,"Member | Natural Resources (Ranking Member), Transportation"
D-VA-10,Rep Jennifer Wexton ,US Representative,Democrat,53,5/27/1968,3,"Appropriations, Budget"
D-PA-7,Rep Susan Wild ,US Representative,Democrat,64,6/7/1957,3,"Member | Ethics (Chair), Foreign Affairs, Education, Science / Technology"
R-NY-22,Rep elect Brandon Williams ,US Representative,Republican,55,5/22/1967,1,
D-GA-5,Rep Nikema Williams ,US Representative,Democrat,43,7/30/1978,2,"Financial Services, Transportation, Modernization of Congress"
R-TX-25,Rep Roger Williams ,US Representative,Republican,72,9/13/1949,6,"Member | Small Business (Assistant Ranking Minority Member), Financial Services"
D-FL-24,Rep Frederica Wilson ,US Representative,Democrat,79,11/5/1942,7,"Member | Education, Transportation"
R-SC-2,Rep Joe Wilson ,US Representative,Republican,74,7/31/1947,12,"Armed Services, Foreign Affairs, Education"
R-VA-1,Rep Rob Wittman ,US Representative,Republican,63,2/3/1959,9,"Member | Armed Services, Natural Resources"
R-AR-3,Rep Steve Womack ,US Representative,Republican,65,2/18/1957,7,Region VIII Representative | Appropriations
R-IN-2,Rep Rudy Yakym ,US Representative,Republican,38,2/24/1984,2,
D-KY-3,Outgoing Rep John Yarmuth ,US Representative,Democrat,74,11/4/1947,8,"Budget Chair, Member | Budget (Chair)"
R-NY-1,Outgoing Rep Lee Zeldin ,US Representative,Republican,42,1/30/1980,4,"Financial Services, Foreign Affairs"
R-MT-1,Rep elect Ryan Zinke ,US Representative,Republican,61,9/1/1961,1,
